g1-xl4-p5,g1-xl4-p4,g1-xl4-p3,g1-xl4-p2,g1-xl4-p10,g1-xl4-p1,g1-xl3-p5,g1-xl3-p4,g1-xl3-p3,g1-xl3-p2,g1-xl3-p10,g1-xl3-p1,g1-xl2-p5,g1-xl2-p4,g1-xl2-p3,g1-xl2-p2,g1-xl2-p10,g1-xl2-p1,g1-m4-p5,g1-m4-p4,g1-m4-p3,g1-m4-p2,g1-m4-p10,g1-m4-p1,g1-m3-p5,g1-m3-p4,g1-m3-p3,g1-m3-p2,g1-m3-p10,g1-m3-p1,g1-m2-p5,g1-m2-p4,g1-m2-p3,g1-m2-p2,g1-m2-p10,g1-m2-p1,g1-l4-p5,g1-l4-p4,g1-l4-p3,g1-l4-p2,g1-l4-p10,g1-l4-p1,g1-l3-p5,g1-l3-p4,g1-l3-p3,g1-l3-p2,g1-l3-p10,g1-l3-p1,g1-l2-p5,g1-l2-p4,g1-l2-p3,g1-l2-p2,g1-l2-p10,g1-l2-p1
445.0,0.0,447.0,378.0,443.0,174.0,446.0,446.0,447.0,425.0,443.0,222.0,445.0,445.0,446.0,447.0,443.0,212.0,448.0,447.0,275.0,226.0,444.0,113,446.0,447.0,311.0,262.0,444.0,145.0,0.0,0.0,447.0,351.0,443.0,170.0,448.0,448.0,329.0,0.0,0.0,160.0,446.0,448.0,390.0,326.0,444.0,139.0,0.0,0.0,447.0,384.0,443.0,180.0
0.0,446.0,447.0,382.0,0.0,182.0,0.0,0.0,448.0,367.0,0.0,200.0,0.0,0.0,0.0,447.0,0.0,223.0,448.0,448.0,357.0,249.0,0.0,73,0.0,448.0,390.0,300.0,0.0,131.0,445.0,447.0,447.0,328.0,0.0,172.0,448.0,448.0,247.0,405.0,444.0,121.0,0.0,448.0,370.0,266.0,0.0,141.0,445.0,447.0,448.0,338.0,0.0,168.0
444.0,0.0,448.0,408.0,443.0,186.0,446.0,446.0,448.0,406.0,443.0,195.0,444.0,445.0,446.0,443.0,443.0,222.0,449.0,448.0,324.0,220.0,444.0,130,446.0,448.0,393.0,299.0,444.0,124.0,0.0,0.0,448.0,346.0,443.0,159.0,448.0,448.0,442.0,0.0,0.0,124.0,446.0,448.0,418.0,244.0,444.0,124.0,0.0,0.0,448.0,329.0,443.0,180.0
0.0,445.0,448.0,368.0,0.0,220.0,0.0,0.0,73.0,396.0,0.0,202.0,0.0,0.0,0.0,434.0,0.0,232.0,449.0,448.0,395.0,180.0,0.0,142,0.0,448.0,447.0,249.0,0.0,154.0,445.0,447.0,448.0,334.0,0.0,179.0,448.0,449.0,350.0,439.0,443.0,108.0,0.0,448.0,397.0,312.0,0.0,153.0,445.0,447.0,448.0,367.0,0.0,142.0
444.0,0.0,73.0,446.0,443.0,183.0,445.0,445.0,448.0,426.0,443.0,234.0,444.0,445.0,446.0,448.0,443.0,217.0,449.0,448.0,285.0,243.0,443.0,103,446.0,448.0,366.0,290.0,443.0,170.0,0.0,0.0,448.0,351.0,443.0,173.0,448.0,449.0,426.0,439.0,0.0,88.0,446.0,449.0,447.0,286.0,443.0,155.0,0.0,0.0,448.0,338.0,443.0,190.0
0.0,445.0,448.0,374.0,0.0,207.0,0.0,0.0,0.0,408.0,0.0,180.0,0.0,0.0,0.0,442.0,0.0,225.0,449.0,449.0,382.0,238.0,0.0,102,0.0,449.0,366.0,308.0,0.0,160.0,444.0,447.0,448.0,357.0,0.0,165.0,449.0,449.0,293.0,0.0,443.0,126.0,0.0,449.0,382.0,305.0,0.0,170.0,444.0,446.0,448.0,313.0,0.0,148.0
444.0,0.0,0.0,411.0,443.0,173.0,445.0,445.0,448.0,410.0,443.0,200.0,444.0,444.0,446.0,440.0,443.0,224.0,449.0,449.0,266.0,140.0,443.0,95,446.0,67.0,362.0,285.0,443.0,110.0,0.0,0.0,448.0,337.0,443.0,171.0,449.0,449.0,306.0,261.0,0.0,0.0,446.0,449.0,447.0,299.0,443.0,102.0,0.0,0.0,449.0,328.0,443.0,176.0
0.0,445.0,448.0,369.0,0.0,209.0,0.0,0.0,0.0,360.0,0.0,206.0,0.0,0.0,0.0,444.0,0.0,224.0,59.0,449.0,340.0,192.0,0.0,110,0.0,448.0,447.0,285.0,0.0,147.0,444.0,447.0,449.0,346.0,0.0,165.0,449.0,449.0,321.0,391.0,443.0,234.0,0.0,62.0,363.0,235.0,0.0,131.0,444.0,446.0,449.0,365.0,0.0,170.0
444.0,0.0,0.0,428.0,442.0,183.0,445.0,445.0,447.0,435.0,442.0,193.0,444.0,444.0,446.0,437.0,442.0,228.0,449.0,449.0,343.0,261.0,443.0,112,445.0,0.0,371.0,264.0,443.0,150.0,0.0,0.0,449.0,349.0,442.0,184.0,449.0,450.0,407.0,216.0,0.0,0.0,445.0,449.0,386.0,280.0,443.0,147.0,0.0,0.0,449.0,342.0,442.0,165.0
0.0,445.0,447.0,378.0,0.0,228.0,0.0,0.0,0.0,404.0,0.0,199.0,0.0,0.0,0.0,449.0,0.0,225.0,0.0,449.0,372.0,205.0,0.0,123,0.0,448.0,447.0,262.0,0.0,142.0,444.0,447.0,449.0,342.0,0.0,169.0,450.0,450.0,347.0,0.0,443.0,241.0,0.0,0.0,447.0,322.0,0.0,198.0,444.0,446.0,449.0,338.0,0.0,167.0
